WELL,INTERVAL,TVDSS_TOP,TVDSS_BASE,GROSS,NET,NET_TO_GROSS,PHIT_AV,SWT_AV,PERM_BASE_AM
,,METRES,METRES,METRES,METRES,M/M,V/V,V/V,MD
THYLACINE_2,83.5_UPP THYLACINE MBR,2118.87,2131.36,12.497,5.677,0.454,0.145,0.446,1.351
THYLACINE_2,83.8_MID THYLACINE MBR,2131.36,2212.15,80.784,38.55,0.477,0.151,0.542,2.387
THYLACINE_2,88_BASE C. STRIATOCONUM,2212.15,2322.43,110.286,0.152,0.001,0.09,0.744,0.029
THYLACINE_2,90.8_UPPER WAARRE,2322.43,2453.91,131.478,0,0,-,-,-
THYLACINE_2,93_LOWER WAARRE,2453.91,2509.92,56.006,0,0,-,-,-
THYLACINE_2,,2118.87,2509.92,391.051,44.379,0.113,0.15,0.531,2.247
THYLACINE_SOUTH_1,83.5_UPP THYLACINE MBR,2158.45,2215.88,57.432,21.032,0.366,0.141,0.634,1.919
THYLACINE_SOUTH_1,83.8_MID THYLACINE MBR,2215.88,2277.4,61.522,21.775,0.354,0.145,0.632,1.75
THYLACINE_SOUTH_1,88_BASE C. STRIATOCONUM,2277.4,2361.25,83.845,20.694,0.247,0.141,0.761,1.796
THYLACINE_SOUTH_1,90.8_UPPER WAARRE,2361.25,2494.02,132.773,50.881,0.383,0.165,0.782,32.584
THYLACINE_SOUTH_1,93_LOWER WAARRE,2494.02,2524.59,30.572,4.73,0.155,0.114,1,0.726
THYLACINE_SOUTH_1,,2158.45,2524.59,366.143,119.112,0.325,0.151,0.734,14.919
